agreement,dominant_abs_score,dominant_component,dominant_component_label,dominant_sign,event_key,hard_abstention_se,pre_call_market_se,question_role_mse_gain_vs_geometry,question_role_mse_gain_vs_hard,question_role_mse_gain_vs_pre,question_role_se,question_role_use_agreed,question_text_preview,row_key,state,ticker,year
1,1.5667466333410593,1,the / and / to / of / that / we / you / in,1,CSCO_2023_Q2,2.9398682006745835e-07,3.474804576548059e-07,0.0,0.0,5.349363758734757e-08,2.9398682006745835e-07,1,"Got it. And then maybe just as a quick follow-up. So as we enter, let's say, the next fiscal year, I mean, given your excellent work on supply chain and the team has done a phenomenal job, would that imply -- I mean, ...",val2022_test_post2022::CSCO_2023_Q2,agreement_keep_agreed,CSCO,2023
1,2.6836819129859126,3,data center / computing / data / center / nvidia,1,NVDA_2024_Q1,5.817512778343886e-08,9.780046767210835e-08,0.0,0.0,3.962533988866949e-08,5.817512778343886e-08,1,"Colette, just wanted to clarify, does visibility mean data center sales can continue to grow sequentially in Q3 and Q4? Or do they sustain at Q2 level? So I just wanted to clarify that. And then, Jensen, my question i...",val2022_test_post2022::NVDA_2024_Q1,agreement_keep_agreed,NVDA,2024
1,0.903021393412389,4,and so / iphone / china / data center / data / center,-1,AAPL_2023_Q1,1.6605758327848854e-09,1.1138046359482568e-08,0.0,0.0,9.477470526697683e-09,1.6605758327848854e-09,1,"Understood. And for my follow-up, I had a sort of interesting theoretical question on pricing. Assuming we get the CHIPS Act passed, and there's a whole bunch of manufacturing that happens in U.S. and other territorie...",val2022_test_post2022::AAPL_2023_Q1,agreement_keep_agreed,AAPL,2023
1,1.8603238862858442,1,high performance / models that / computing is / that allows / all over / runs / hundreds of / it into,-1,AMZN_2023_Q1,1.0396262275398077e-07,1.1023927765669757e-07,0.0,0.0,6.2766549027168e-09,1.0396262275398077e-07,1,"Andy, you talked about the continued optimization. Just curious, can you talk about the degree to which optimization has been done in AWS versus what you think could still lie ahead? And when do you start to lap some ...",val2022_test_post2022::AMZN_2023_Q1,agreement_keep_agreed,AMZN,2023
1,0.5961911866902536,1,high performance / models that / computing is / that allows / all over / runs / hundreds of / it into,-1,AMZN_2024_Q2,1.5529674975469323e-09,5.045006279701927e-09,0.0,0.0,3.4920387821549943e-09,1.5529674975469323e-09,1,"Great. Two questions. First, the AWS op income margins were strong, again, mid-30% area. Just kind of what were the key drivers? And how should we think about AWS margins in the back half of the year? And then the int...",val2022_test_post2022::AMZN_2024_Q2,agreement_keep_agreed,AMZN,2024
1,3.369938366395951,4,consulting / red hat / hat / red / arvind / software / cash,1,IBM_2023_Q4,6.856774998923652e-10,1.4168320696010052e-09,7.3115456970864e-10,0.0,7.3115456970864e-10,6.856774998923652e-10,1,"If we look at your cash flow performance, it's really very compelling at $12 billion on your guidance. Jim, could you maybe help us bridge from 2023 to 2024, what are the items that are driving that $12 billion in fre...",val2022_test_post2022::IBM_2023_Q4,agreement_keep_agreed,IBM,2023
1,1.0918309639346127,2,we re / that we / and we / and so,1,DIS_2023_Q2,1.2587878696424914e-10,7.310383214772073e-10,6.051595345129582e-10,0.0,6.051595345129582e-10,1.2587878696424914e-10,1,"I wanted to ask one on direct-to-consumer advertising. And I'd love to hear any early details you can share about the Disney+ with the advertising product. It wasn't mentioned as a driver, and I realize it's early, bu...",val2022_test_post2022::DIS_2023_Q2,agreement_keep_agreed,DIS,2023
1,2.159768471206987,4,consulting / red hat / hat / red / arvind / software / cash,1,IBM_2023_Q1,2.9182714856390686e-09,3.3728493461497888e-09,0.0,0.0,4.545778605107202e-10,2.9182714856390686e-09,1,"Arvind, you're now incorporating the possibility for slightly lower revenue growth, sounds like both around consulting, some areas like Red Hat and some of this is clearly macro. But at the same time, profitability is...",val2022_test_post2022::IBM_2023_Q1,agreement_keep_agreed,IBM,2023
1,1.182121154014503,3,disney / nike / sports / parks,-1,DIS_2023_Q3,1.3186118029274838e-09,1.639084537604222e-09,0.0,0.0,3.2047273467673814e-10,1.3186118029274838e-09,1,"So in terms of the guidance for high single-digit OI growth, just triangulating between the trends in the first 3 quarters and some of the segment guidance in the quarter, it seems to imply growth in the fourth quarte...",val2022_test_post2022::DIS_2023_Q3,agreement_keep_agreed,DIS,2023
1,2.0342518331638906,1,high performance / models that / computing is / that allows / all over / runs / hundreds of / it into,-1,DIS_2023_Q4,1.986158837461842e-10,2.674502803982219e-10,6.883439665203772e-11,0.0,6.883439665203772e-11,1.986158837461842e-10,1,"Bob, I was just wondering if you could give us your sort of holistic view on advertising and what's going on, I mean we know money is going into like retail media networks and things like that. But how much can you, a...",val2022_test_post2022::DIS_2023_Q4,agreement_keep_agreed,DIS,2023
1,1.244385114657209,1,the / and / to / of / that / we / you / in,1,AAPL_2023_Q4,5.225218288864942e-09,1.7935906266806693e-09,3.4316276621842726e-09,3.4316276621842726e-09,0.0,1.7935906266806693e-09,0,"I just have a question on iPhone storage and demand versus iCloud. As demand for storage grows, are you seeing a mix shift towards higher storage iPhone models? Or are consumers mostly opting for the same because of i...",val2022_test_post2022::AAPL_2023_Q4,agreement_veto_to_pre,AAPL,2023
1,1.1160449414929907,4,and so / iphone / china / data center / data / center,-1,AAPL_2024_Q1,1.0654608880467118e-09,1.0654608880467118e-09,0.0,0.0,0.0,1.0654608880467118e-09,0,"I have 2 questions as well. So Tim and Luca, I appreciate the strength in the emerging markets like India and the other names that you kind of listed on the call. But can you maybe spend some time on the Americas? Obv...",val2022_test_post2022::AAPL_2024_Q1,agreement_veto_to_pre,AAPL,2024
0,1.1387296062368861,2,you / just / your / about / how / on / maybe / could,-1,AAPL_2024_Q2,1.0587923173811772e-08,1.0587923173811772e-08,0.0,0.0,0.0,1.0587923173811772e-08,0,"Tim, I was wondering if I could ask the China question again. Is there any more color from your visit there that gives you confidence that you've reached the bottom there and that it's turning? I know you've been -- y...",val2022_test_post2022::AAPL_2024_Q2,disagreement_auto_pre,AAPL,2024
1,0.8477353388863522,1,the / and / to / of / that / we / you / in,1,AMGN_2023_Q1,9.098870293508088e-10,9.098870293508088e-10,0.0,0.0,0.0,9.098870293508088e-10,0,"Following on the pipeline, maybe for David, I think what's interesting is that you obviously had AMG 133 obesity data, and now you are emphasizing AMG 786. And I think it's enrolling and treating people now. Can you j...",val2022_test_post2022::AMGN_2023_Q1,agreement_veto_to_pre,AMGN,2023
1,1.490711209546941,2,we re / that we / and we / and so,1,AMGN_2023_Q2,8.117130604138942e-09,8.117130604138942e-09,0.0,0.0,0.0,8.117130604138942e-09,0,"Congrats on the quarter. Maybe one question on -- One question on OX40. There are some concerns and people are talking about the safety of OX40 like one concern is regarding the autoimmune phenomena, and I'm reading s...",val2022_test_post2022::AMGN_2023_Q2,agreement_veto_to_pre,AMGN,2023
1,1.3987605640870677,1,high performance / models that / computing is / that allows / all over / runs / hundreds of / it into,-1,AMGN_2024_Q1,5.7265827473996104e-09,5.7265827473996104e-09,0.0,0.0,0.0,5.7265827473996104e-09,0,"Congrats on all the progress and thanks for providing the update. Maybe just to shift gears a little bit to tarlatamab. With the potential launch rapidly approaching, can you just talk about the work you're doing to p...",val2022_test_post2022::AMGN_2024_Q1,agreement_veto_to_pre,AMGN,2024
1,1.6195258929020118,1,high performance / models that / computing is / that allows / all over / runs / hundreds of / it into,-1,AMGN_2024_Q2,2.400863144846706e-07,2.400863144846706e-07,0.0,0.0,0.0,2.400863144846706e-07,0,"Well, not a huge growth driver. I'd love if you could characterize on some of your negotiations with CMS on Enbrel. Many of your peers are pleased with kind of the fair price that they negotiated with CMS. Do you feel...",val2022_test_post2022::AMGN_2024_Q2,agreement_veto_to_pre,AMGN,2024
1,0.8518575490138595,4,and so / iphone / china / data center / data / center,-1,AMGN_2024_Q3,8.05697185261894e-08,8.05697185261894e-08,0.0,0.0,0.0,8.05697185261894e-08,0,"Bob, maybe just looking at the rare disease franchise. And we've always mentioned -- you've mentioned it's certainly a different approach in this space. And to that, what is Amgen's approach on pipeline replenishment ...",val2022_test_post2022::AMGN_2024_Q3,agreement_veto_to_pre,AMGN,2024
0,1.2821520004509197,2,you / just / your / about / how / on / maybe / could,-1,CSCO_2023_Q1,8.419954665811597e-10,8.419954665811597e-10,0.0,0.0,0.0,8.419954665811597e-10,0,"Got it. Just to be clear, that is Cisco gain share? I don't know, just to make sure I heard you correctly. Congrats on the strong print. I guess, I just had one. I think if I can go back to the -- Chuck, your comments...",val2022_test_post2022::CSCO_2023_Q1,disagreement_auto_pre,CSCO,2023
